date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:00	513/513	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22201-615f83fa34000%22	https://bit2sky.com/assets/images/hero/wave-hero.svg	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/hero/wave-hero.svg	(from https://bit2sky.com/assets/css/style.css)
17:36:00	346299/346299	---M--	200	added ('OK')	image/png	etag:%22548bb-615f83fa34000%22	https://bit2sky.com/assets/images/shape/bg-light2.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/shape/bg-light2.png	(from https://bit2sky.com/assets/css/style.css)
17:36:01	169693/169693	---M--	200	added ('OK')	image/png	etag:%22296dd-615f83fa34000%22	https://bit2sky.com/assets/images/shape/bg-rectangles-.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/shape/bg-rectangles-.png	(from https://bit2sky.com/assets/css/style.css)
17:36:01	912/912	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22390-615f83fa34000%22	https://bit2sky.com/assets/images/icons/sun.svg	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/sun.svg	(from https://bit2sky.com/assets/css/style.css)
17:36:01	856/856	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22358-615f83fa34000%22	https://bit2sky.com/assets/images/icons/moon.svg	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/moon.svg	(from https://bit2sky.com/assets/css/style.css)
17:36:02	298458/298458	---M--	200	added ('OK')	image/jpeg	etag:%2248dda-615f83fa34000%22	https://bit2sky.com/assets/images/shape/bg-glass.jpg	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/shape/bg-glass.jpg	(from https://bit2sky.com/assets/css/style.css)
17:36:03	11045/11045	---M--	200	added ('OK')	image/png	etag:%222b25-615f83fa34000%22	https://bit2sky.com/assets/images/shape/shape-f.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/shape/shape-f.png	(from https://bit2sky.com/assets/css/style.css)
17:36:03	473761/473761	---M--	200	added ('OK')	image/jpeg	etag:%2273aa1-615f83fa34000%22	https://bit2sky.com/assets/images/shape/tt-work-bg.jpg	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/shape/tt-work-bg.jpg	(from https://bit2sky.com/assets/css/style.css)
17:36:03	8705/8705	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222201-615f83fa34000%22	https://bit2sky.com/assets/images/shape/stars.svg	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/shape/stars.svg	(from https://bit2sky.com/assets/css/style.css)
17:36:04	12516/12516	---M--	200	added ('OK')	image/png	etag:%2230e4-61df90e586440%22	https://bit2sky.com/assets/images/icons/award-bg-1.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/award-bg-1.png	(from https://bit2sky.com/assets/css/style_new.css)
17:36:05	349915/349915	---M--	200	added ('OK')	image/jpeg	etag:%22556db-615f83fa34000%22	https://bit2sky.com/assets/images/shape/bg-gradient.jpg	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/shape/bg-gradient.jpg	(from https://bit2sky.com/assets/css/style.css)
17:36:05	11835/11835	---M--	200	added ('OK')	image/png	etag:%222e3b-61df90e586440%22	https://bit2sky.com/assets/images/icons/award-bg-2.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/icons/award-bg-2.png	(from https://bit2sky.com/assets/css/style_new.css)
17:36:06	596954/596954	---M--	200	added ('OK')	image/png	etag:%2291bda-615f83fa34000%22	https://bit2sky.com/assets/images/hero/freelancer.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/hero/freelancer.png	(from https://bit2sky.com/assets/css/responsive.css)
17:36:06	519204/519204	---M--	200	added ('OK')	image/png	etag:%227ec24-61df90e586440%22	https://bit2sky.com/assets/images/hero/bg-gradient-new-1.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/hero/bg-gradient-new-1.png	(from https://bit2sky.com/assets/css/style_new.css)
17:36:07	579095/579095	---M--	200	added ('OK')	image/png	etag:%228d617-61df90e586440%22	https://bit2sky.com/assets/images/other/header-bg-2.png	C:/bit2sky-copy/bit2sky/bit2sky.com/assets/images/other/header-bg-2.png	(from https://bit2sky.com/services)
